表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別(續9),,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification (Cont.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,"Unit:Cases,Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
機關別,,,總計,竊盜 ,贓物,賭博,傷害,詐欺背信,重利,妨害自由,殺人,駕駛過失,妨害婚姻及家庭,妨害風化,妨害性自主罪,內亂,恐嚇取財,擄人勒贖,侵占,偽造文書            印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家    總動員法,違反        森林法,違反        著作權法,違反     商標法,公共危險,侵害     墳墓屍體,妨害名譽,違反       選罷法,妨害秘密,遺棄,懲治    走私條例,違反貪汙        治罪條例,瀆職,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,違反就業服務法,妨害電腦使用(2),其他,暴力犯罪(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"澎　湖　縣
Penghu County",發生數,Cases Known to the Police,"1,713",150,     －,20,101,474,2,80,6,101,    －,    －,22,    －,14,     －,40,27,108,37,2,2,8,2,13,    －,    －,    －,3,1,275,    －,66,    －,4,1,    －,    －,1,1,1,    －,    －,1,    －,1,    －,2,    －,51,96,11
,破獲數,Cases Cleared,"1,405",136,     －,18,95,281,3,74,6,93,    －,    －,20,    －,7,     －,37,19,109,33,2,3,8,2,12,    －,    －,    －,3,1,275,    －,57,    －,4,1,    －,    －,1,1,1,    －,    －,1,    －,2,    －,2,    －,10,88,12
,嫌疑犯,Offenders,"1,612",130,     －,69,162,253,7,91,8,108,    －,    －,19,    －,8,     －,33,28,93,29,2,4,8,1,53,    －,    －,    －,5,1,274,    －,69,    －,2,1,    －,    －,1,    －,2,    －,    －,1,    －,2,    －,2,    －,4,142,14
"基　隆　市
Keelung City",發生數,Cases Known to the Police,"6,099",918,     －,44,438,818,5,460,4,280,9,16,118,    －,9,     －,266,70,898,215,18,13,15,1,50,1,    －,    －,5,2,457,    －,282,4,22,3,    －,    －,2,    －,1,    －,1,13,1,    －,    －,23,    －,173,444,18
,破獲數,Cases Cleared,"5,311",840,     －,37,391,586,3,420,4,273,6,16,101,    －,7,     －,219,57,892,155,18,13,15,1,44,1,    －,    －,4,1,455,    －,243,4,19,3,    －,    －,2,    －,1,    －,1,11,1,    －,    －,28,    －,38,401,18
,嫌疑犯,Offenders,"6,322",697,     －,100,597,"1,041",4,548,5,287,9,25,100,    －,14,     －,190,41,939,143,18,16,16,1,216,1,    －,    －,5,1,435,    －,272,7,18,4,    －,    －,1,    －,1,    －,1,11,    －,    －,    －,22,    －,25,511,23
"新　竹　市
Hsinchu City",發生數,Cases Known to the Police,"5,360",879,1,53,351,584,8,343,1,586,5,11,140,    －,6,     －,226,54,458,208,14,1,9,    －,18,1,    －,    －,11,    －,897,    －,190,    －,27,4,    －,    －,    －,    －,    －,    －,    －,8,    －,1,    －,20,1,28,216,1
,破獲數,Cases Cleared,"5,233",826,1,38,334,570,8,329,1,585,4,11,137,    －,7,     －,226,48,496,197,14,1,9,    －,18,    －,    －,    －,10,    －,900,    －,186,    －,25,3,    －,    －,    －,    －,    －,    －,    －,8,    －,    －,    －,22,1,18,200,1
,嫌疑犯,Offenders,"5,924",649,1,53,480,932,9,417,2,662,3,11,134,    －,8,     －,173,35,581,223,13,1,6,    －,92,    －,    －,    －,8,    －,901,    －,222,    －,31,5,    －,    －,    －,    －,    －,    －,    －,6,    －,    －,    －,28,1,12,225,1
"嘉　義　市
Chiayi City",發生數,Cases Known to the Police,"4,041",699,     －,69,215,893,11,156,1,2,4,9,60,    －,3,     －,111,37,690,76,11,6,1,    －,23,1,    －,    －,8,1,585,    －,148,5,15,1,    －,    －,    －,    －,3,    －,    －,11,    －,1,    －,13,    －,19,153,13
,破獲數,Cases Cleared,"3,836",674,     －,64,215,818,13,152,1,2,3,9,59,    －,3,     －,110,35,623,75,11,6,1,    －,23,2,    －,    －,8,1,584,    －,148,6,13,1,    －,    －,    －,    －,3,    －,    －,10,    －,    －,    －,17,    －,14,132,13
,嫌疑犯,Offenders,"4,911",632,     －,104,331,"1,536",21,202,    －,3,3,12,59,    －,3,     －,113,40,646,77,9,11,1,    －,113,2,    －,    －,8,1,588,    －,176,8,15,2,    －,    －,    －,    －,3,    －,    －,9,    －,    －,    －,13,    －,14,156,17
"金　門　縣
Kinmen County",發生數,Cases Known to the Police,"1,088",104,     －,16,55,363,    －,40,3,109,2,    －,22,    －,1,     －,14,18,49,24,3,    －,6,1,1,3,    －,    －,4,    －,91,    －,54,    －,2,    －,1,    －,1,    －,    －,    －,    －,4,    －,    －,    －,    －,    －,35,62,7
,破獲數,Cases Cleared,881,92,     －,20,57,226,    －,35,3,105,3,    －,20,    －,     －,     －,14,19,50,19,1,    －,6,1,1,3,    －,    －,4,1,92,    －,46,    －,1,    －,1,    －,1,    －,    －,    －,    －,3,    －,    －,    －,    －,    －,3,54,7
,嫌疑犯,Offenders,"1,391",117,     －,134,110,447,    －,44,5,123,3,    －,23,    －,     －,     －,14,25,62,27,1,    －,7,1,1,4,    －,    －,7,1,92,    －,65,    －,1,    －,5,    －,4,    －,    －,    －,    －,3,    －,    －,    －,    －,    －,1,64,7
"連　江　縣
Lienchiang
County",發生數,Cases Known to the Police,166,16,1,     －,8,87,    －,6,    －,6,    －,    －,6,    －,     －,     －,4,2,3,3,1,    －,1,    －,    －,    －,    －,    －,1,    －,7,    －,5,    －,1,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,3,5,3
