表6　刑事案件嫌疑犯人數－按案類及年齡層別(續1),,,,Table 6. Criminal Cases Offenders - by Classification and Age (Cont.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年別,,總計,竊盜 ,贓物,賭博,傷　害 ,詐欺背信,重利,妨害自由,殺　　人 Homicide,駕駛過失,妨害婚姻及家庭,妨害     風化,妨害性自主罪 ,內亂,恐嚇取財,擄人勒贖,侵占,偽造     文書印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪 ,竊佔,偽造       有價證券,妨害秩序,違反         藥事法,違反國家總動員法,違反      森林法,違反       著作權法,違反      專利法,違反    商標法,公共危險,侵害    墳墓屍體,妨害名譽,違反    選罷法,妨害秘密,遺棄,懲治     走私條例,違反貪汙治罪條例,瀆職,妨害兵役,偽造貨幣,偽造      度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈業刀械管制條例,違反就業服務法,妨害電腦使用(3),其他,暴力犯罪(4)
少年,Juvenile,"10,226","1,594",5,165,882,"1,662",30,443,31,291,32,12,860,    －,68,    －,125,57,949,177,26,32,4,1,"1,026",8,    －,    －,7,    －,6,520,    －,240,11,42,4,    －,    －,    －,    －,    －,    －,1,6,    －,1,3,34,    －,42,829,104
青年,Young Adult,"33,556","2,152",6,883,"1,983","7,628",283,"1,452",164,"2,269",110,108,943,    －,182,3,494,256,"4,633",569,135,115,9,3,"2,249",70,    －,20,96,    －,137,"3,514",    －,"1,129",14,137,10,2,2,4,    －,5,    －,1,27,1,11,1,226,    －,121,"1,399",319
成年,Adult,"237,810","25,278",109,"7,507","13,435","25,794","1,329","9,733",437,"14,956",395,"1,035","2,172",    －,695,2,"5,456","2,578","42,196","3,999","1,356",333,934,80,"2,720",691,    －,302,"1,962",    －,"2,219","50,216",5,"6,939",375,625,75,9,13,37,2,37,    －,48,432,14,43,12,"1,093",7,594,"9,531",768
不詳,Unknown,       －,     －,       －,       －,       －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,     －,     －
民國110年 2021,,"265,221","27,929",86,"6,339","16,185","37,335",903,"14,217",561,"19,763",279,"1,105","3,718",    －,850,49,"6,504","2,811","40,987","5,342","1,244",407,902,61,"6,578",490,    －,368,"2,072",    －,"1,952","41,844",21,"8,687",23,912,107,19,6,23,    －,61,    －,28,490,25,57,9,"1,148",10,795,"11,919","1,073"
兒童,Child,       －,     －,       －,       －,       －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,     －,     －
少年,Juvenile,"9,627","1,216",2,247,895,"1,648",14,506,34,345,47,16,783,    －,69,    －,116,53,664,205,27,13,2,1,"1,263",24,    －,1,8,    －,16,365,    －,228,    －,36,2,    －,    －,    －,    －,3,    －,1,5,    －,1,1,34,    －,44,692,55
青年,Young Adult,"32,421","1,809",8,678,"1,774","8,500",222,"1,795",145,"2,539",87,99,808,    －,168,15,558,261,"3,895",622,131,80,18,12,"2,410",59,    －,15,109,    －,138,"2,524",1,"1,047",    －,155,7,4,    －,    －,    －,10,    －,    －,23,4,19,1,193,    －,121,"1,357",262
成年,Adult,"223,172","24,904",76,"5,414","13,516","27,187",667,"11,916",382,"16,879",145,990,"2,127",    －,613,34,"5,830","2,497","36,428","4,515","1,086",314,882,48,"2,905",407,    －,352,"1,955",    －,"1,798","38,955",20,"7,412",23,721,98,15,6,23,    －,48,    －,27,462,21,37,7,921,10,630,"9,869",756
不詳,Unknown,1,     －,       －,       －,       －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,1,     －
民國111年 2022,,"291,891","31,139",80,"6,853","17,303","46,690","1,239","16,358",424,"21,514",300,955,"4,199",    －,756,4,"7,876","3,046","39,964","6,175","1,263",341,917,67,"6,187",324,    －,406,"2,063",    －,"2,160","41,285",16,"9,263","3,845","1,088",123,2,20,17,3,57,    －,36,529,12,63,12,"1,139",14,939,"14,825",761
兒童,Child,       －,     －,       －,       －,       －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,     －,     －
少年,Juvenile,"9,554","1,225",3,247,896,"1,670",10,577,13,318,52,13,875,    －,29,    －,143,64,456,230,27,11,1,1,997,10,    －,1,14,    －,16,349,    －,239,20,50,1,    －,    －,    －,    －,2,    －,    －,9,    －,3,    －,37,    －,69,876,34
青年,Young Adult,"33,626","1,821",8,736,"1,636","9,846",270,"1,876",68,"2,615",81,100,880,    －,152,1,698,266,"3,088",685,122,53,12,2,"2,248",37,    －,10,114,    －,155,"2,618",2,"1,166",65,166,8,    －,1,    －,2,7,    －,1,38,2,9,2,187,    －,138,"1,634",138
成年,Adult,"248,711","28,093",69,"5,870","14,771","35,174",959,"13,905",343,"18,581",167,842,"2,444",    －,575,3,"7,035","2,716","36,420","5,260","1,114",277,904,64,"2,942",277,    －,395,"1,935",    －,"1,989","38,318",14,"7,858","3,760",872,114,2,19,17,1,48,    －,35,482,10,51,10,915,14,732,"12,315",589
不詳,Unknown,       －,     －,       －,       －,       －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,     －,     －
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
